,City,lat,lon,temp_F,humidity,cloudiness,wind_mph,hemisphere
0,Hilo,19.73,-155.09,70.39,88,90,3.36,northern_hem
1,Partizanskoye,55.5,94.39,45.41,91,100,3.71,northern_hem
2,Krasnosel'kup,65.7,82.47,38.71,85,58,8.3,northern_hem
3,Zaoyang,32.13,112.75,69.55,72,100,5.68,northern_hem
4,Carnarvon,-24.87,113.63,68.0,88,40,8.05,southern_hem
5,Upernavik,72.79,-56.15,23.59,80,0,11.16,northern_hem
6,Troitskoye,52.98,84.68,42.44,89,77,12.97,northern_hem
7,Laas,46.62,10.7,57.79,100,75,9.17,northern_hem
8,Puerto Ayora,-0.74,-90.35,71.01,79,97,7.0,southern_hem
9,Tawang Town,27.58,91.87,55.9,78,90,1.01,northern_hem
10,Kapaa,22.08,-159.32,77.63,78,75,14.99,northern_hem
11,Bluff,-46.6,168.33,46.0,95,99,6.93,southern_hem
12,Calatagan,13.88,120.65,82.15,80,100,9.44,northern_hem
13,Arlit,18.74,7.39,102.33,8,0,4.72,northern_hem
14,New Norfolk,-42.78,147.06,39.58,85,83,1.61,southern_hem
15,Albany,42.6,-73.97,70.34,59,100,2.24,northern_hem
16,Leningradskiy,69.38,178.42,29.17,94,100,10.89,northern_hem
17,Winneba,5.35,-0.62,75.2,88,33,2.24,northern_hem
18,Kita,13.03,-9.49,86.04,65,67,3.96,northern_hem
19,Mataura,-46.19,168.86,46.0,95,100,3.15,southern_hem
20,Port Hardy,50.7,-127.42,51.8,100,75,2.24,northern_hem
21,Broken Hill,-31.95,141.43,51.8,76,40,11.41,southern_hem
22,Khatanga,71.97,102.5,46.36,72,70,12.1,northern_hem
23,Anshun,26.25,105.93,60.37,95,100,7.81,northern_hem
24,Ilulissat,69.22,-51.1,30.2,33,20,2.24,northern_hem
25,Constitución,-35.33,-72.42,62.46,58,0,4.85,southern_hem
26,Hobart,-42.88,147.33,40.19,93,91,2.24,southern_hem
27,Port Hawkesbury,45.62,-61.35,64.92,68,75,12.75,northern_hem
28,Mimongo,-1.62,11.61,75.54,84,94,2.8,southern_hem
29,Manggar,-2.88,108.27,81.93,79,100,8.77,southern_hem
30,Lotoshino,56.23,35.64,57.16,75,85,6.96,northern_hem
31,Les Cayes,18.2,-73.75,86.77,67,30,9.01,northern_hem
32,Busselton,-33.65,115.33,55.9,47,94,21.0,southern_hem
33,Traralgon,-38.18,146.53,46.99,73,100,1.99,southern_hem
34,Punta Arenas,-53.15,-70.92,51.4,57,100,32.21,southern_hem
35,Husavik,66.04,-17.34,35.6,86,90,21.92,northern_hem
36,Katima Mulilo,-17.5,24.27,93.2,16,0,8.05,southern_hem
37,Hollins,37.34,-79.94,65.84,68,90,3.36,northern_hem
38,Provideniya,64.38,-173.3,35.31,84,27,7.58,northern_hem
39,Luwuk,-0.95,122.79,76.69,74,1,3.71,southern_hem
40,Inírida,3.87,-67.92,84.29,79,90,2.04,northern_hem
41,Clyde River,70.47,-68.59,33.96,87,100,12.17,northern_hem
42,Marsá Maţrūḩ,31.35,27.25,80.6,65,0,9.17,northern_hem
43,Kavieng,-2.57,150.8,82.42,70,15,8.23,southern_hem
44,Nanortalik,60.14,-45.24,39.06,73,100,22.66,northern_hem
45,Camargo,27.67,-105.17,81.41,25,1,9.26,northern_hem
46,Kantang,7.41,99.52,77.63,83,74,2.04,northern_hem
47,Aasiaat,68.71,-52.87,27.14,86,11,24.79,northern_hem
48,Yaoundé,3.87,11.52,80.6,74,40,5.82,northern_hem
49,Troitsko-Pechorsk,62.71,56.2,40.86,86,89,6.53,northern_hem
50,Saint George,37.1,-113.58,74.75,24,1,2.75,northern_hem
51,Hong Kong,22.29,114.16,81.36,76,100,1.01,northern_hem
52,San Patricio,19.22,-104.7,86.0,74,5,1.81,northern_hem
53,Zemetchino,53.5,42.62,60.6,58,0,5.7,northern_hem
54,Avarua,-21.21,-159.78,71.6,100,97,10.29,southern_hem
55,Thompson,55.74,-97.86,41.0,100,90,3.36,northern_hem
56,Los Llanos de Aridane,28.66,-17.92,75.4,69,20,4.7,northern_hem
57,Qasigiannguit,68.82,-51.19,30.2,33,20,2.24,northern_hem
58,Fare,-16.7,-151.02,78.66,76,22,15.1,southern_hem
